Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,name,full_name,gid
Autauga County Sheriff Department,AL,12,,81.0,0,9.0,5,67,512.0,186,291.0,35.0,,,,,,,,,,autauga county,"autauga county,AL",05000US01001
Baldwin County Sheriff Deptartment,AL,12,,130.0,3,9.0,27,91,870.0,317,496.0,57.0,,,,,,,,,,baldwin county,"baldwin county,AL",05000US01003
Barbour County Sheriff Deptartment,AL,12,,21.0,0,1.0,2,18,87.0,33,48.0,6.0,,,,,,,,,,barbour county,"barbour county,AL",05000US01005
Bibb County Sheriff Department,AL,12,,18.0,0,4.0,0,14,155.0,73,65.0,17.0,,,,,,,,,,bibb county,"bibb county,AL",05000US01007
Blount County Sheriff Department,AL,12,,79.0,1,8.0,6,64,959.0,329,573.0,57.0,,,,,,,,,,blount county,"blount county,AL",05000US01009
Chambers County Sheriff Department,AL,12,,6.0,0,0.0,1,5,89.0,33,54.0,2.0,,,,,,,,,,chambers county,"chambers county,AL",05000US01017
Chilton County Sheriff Department,AL,12,,78.0,0,6.0,5,67,599.0,234,315.0,50.0,,,,,,,,,,chilton county,"chilton county,AL",05000US01021
Clarke County Sheriff Department,AL,12,,36.0,0,9.0,3,24,119.0,47,63.0,9.0,,,,,,,,,,clarke county,"clarke county,AL",05000US01025
Coffee County Sheriff Department,AL,12,,24.0,0,1.0,0,23,161.0,79,70.0,12.0,,,,,,,,,,coffee county,"coffee county,AL",05000US01031
Colbert County Sheriff Department,AL,12,,36.0,1,5.0,1,29,339.0,141,171.0,27.0,,,,,,,,,,colbert county,"colbert county,AL",05000US01033
Covington County Sheriff Department,AL,12,,40.0,1,8.0,1,30,328.0,134,173.0,21.0,,,,,,,,,,covington county,"covington county,AL",05000US01039
Dale County Sheriff Department,AL,12,,61.0,0,4.0,5,52,162.0,42,110.0,10.0,,,,,,,,,,dale county,"dale county,AL",05000US01045
