,cost_exists,age_exists,cup_exists,county_fips,place_fips,state_fips,place,url,state,bls_code,b01001001,b01001a001,b01001b001,b15002003,b15002004,b15002005,b15002006,b15002007,b15002008,b15002009,b15002010,b15002011,b15002012,b15002013,b15002014,b15002015,b15002016,b15002017,b15002018,b19013001,gid,place,region,counts,completeness,completeness_std,Cup_mean mean,Cup_mean std,Cost_hour_mean mean,Cost_hour_mean std,Age_mean mean,Age_mean std
aberdeen-sd,,,,,100.0,46.0,Aberdeen,aberdeen-sd,south dakota,LAUCT460010000000003,26443.0,24230.0,,0.0,0.0,0.0,285.0,72.0,62.0,100.0,88.0,2940.0,437.0,1212.0,576.0,1469.0,202.0,210.0,88.0,47910.0,16000US4600100,aberdeen-sd,aberdeen-sd,,,,,,,,,
abilene,0.04539385847797063,0.017356475300400534,0.05740987983978638,,1000.0,48.0,Abilene,abilene,texas,LAUCT480100000000003,120027.0,96400.0,12311.0,620.0,340.0,362.0,1225.0,1263.0,1168.0,1722.0,412.0,10720.0,3060.0,6241.0,2475.0,5258.0,1571.0,701.0,572.0,41460.0,16000US4801000,abilene,abilene,749.0,0.12016021361815754,0.34529995635501876,-0.6675567423230975,1.3991124138451025,240.9558823529706,101.10316021152249,-0.5313751668891856,3.635187636033192
akroncanton,0.21626506024096387,0.035542168674698796,0.12710843373493977,,,39.0,Akron/Canton,akroncanton,ohio,,11541175.0,9558840.0,1404531.0,31932.0,8467.0,17557.0,67168.0,54962.0,87784.0,109501.0,67762.0,1310105.0,245786.0,518052.0,243347.0,593388.0,223165.0,75551.0,48321.0,47030.0,04000US39,akroncanton,akroncanton,1660.0,0.3789156626506024,0.551540146287931,-0.26897590361445783,1.9863385520350931,187.51439182914262,80.63491320088207,-0.05060240963855422,5.015692637379654
albany,0.15814226925338037,0.054673721340388004,0.18930041152263374,1.0,1000.0,36.0,Albany,albany,new york,LAUCT360100000000003,97843.0,55704.0,30715.0,274.0,160.0,267.0,378.0,272.0,854.0,785.0,458.0,6701.0,1172.0,4265.0,2076.0,5715.0,2929.0,863.0,881.0,40404.0,16000US3601000,albany,albany,1701.0,0.4021164021164021,0.650317741774055,0.11081716637272193,2.349700977738975,214.85501858735577,73.84840488200126,0.32216343327460323,5.585807704259322
albanyga,0.15051020408163265,0.01020408163265306,0.0663265306122449,,1052.0,13.0,Albany,albanyga,georgia,LAUCT130105200000003,77546.0,19150.0,55701.0,416.0,187.0,147.0,782.0,377.0,1235.0,1474.0,806.0,6609.0,1430.0,3423.0,915.0,2187.0,550.0,277.0,260.0,27400.0,16000US1301052,albanyga,albanyga,392.0,0.22704081632653061,0.481879757441166,-0.5943877551020408,1.554226687476609,213.76412429377967,90.33624946587788,-0.7448979591836735,2.5399568012509364
albuquerque,0.24650837988826815,0.0356145251396648,0.16410614525139663,,2000.0,35.0,Albuquerque,albuquerque,new mexico,LAUCT350200000000003,551597.0,382530.0,18424.0,1725.0,1272.0,3256.0,2284.0,2567.0,2817.0,2767.0,3714.0,39488.0,9471.0,31894.0,12323.0,32587.0,16381.0,5052.0,5358.0,46060.0,16000US3502000,albuquerque,albuquerque,1432.0,0.44622905027932963,0.636563338488334,0.026885474860335195,2.3784519081825684,270.72308781870316,476.27941361788817,-0.013966480446927373,5.357891615637012
alexandria,0.05105105105105105,0.009009009009009009,0.03903903903903904,,975.0,22.0,Alexandria,alexandria,louisiana,LAUCT220097500000003,48217.0,17182.0,29399.0,468.0,23.0,206.0,696.0,289.0,439.0,520.0,163.0,4978.0,613.0,2257.0,410.0,1796.0,438.0,408.0,240.0,35001.0,16000US2200975,alexandria,alexandria,333.0,0.0990990990990991,0.3187406021753262,-0.7477477477477478,1.264447604057225,215.62745098041177,87.42283362050516,-0.6576576576576577,3.595920116584676
allentown,0.08712715855572999,0.04081632653061224,0.11695447409733124,,2000.0,42.0,Allentown,allentown,pennsylvania,LAUCT420200000000003,118587.0,78789.0,14823.0,535.0,425.0,615.0,1148.0,1049.0,1653.0,1948.0,1086.0,12265.0,1620.0,3677.0,2152.0,3412.0,1272.0,578.0,431.0,34289.0,16000US4202000,allentown,allentown,1274.0,0.24489795918367346,0.4979075120950699,-0.29631083202511777,1.9731888412886665,380.6726726726667,919.2474774026181,-0.014913657770800628,4.815587142713446
altoona,0.08602150537634409,0.025089605734767026,0.03942652329749104,,2184.0,42.0,Altoona,altoona,pennsylvania,LAUCT420218400000003,46239.0,43098.0,,132.0,0.0,1.0,176.0,181.0,276.0,691.0,156.0,7567.0,953.0,1330.0,984.0,1748.0,425.0,165.0,74.0,35572.0,16000US4202184,altoona,altoona,279.0,0.15053763440860216,0.4141274060849425,-0.7544802867383512,1.2472010384718997,522.7569444443334,511.4544123295221,-0.3870967741935484,3.85538656553889
amarillo,0.03482142857142857,0.016964285714285713,0.07053571428571428,,3000.0,48.0,Amarillo,amarillo,texas,LAUCT480300000000003,193429.0,160259.0,13181.0,965.0,580.0,1634.0,1673.0,1613.0,1363.0,1504.0,1013.0,15291.0,5212.0,10522.0,4232.0,8753.0,2726.0,1100.0,636.0,45350.0,16000US4803000,amarillo,amarillo,1120.0,0.12232142857142857,0.3540168632802492,-0.5830357142857143,1.5603091048714668,210.85042735043587,101.42331239217047,-0.5410714285714285,3.5595421373041383
ames,,,,,1855.0,19.0,Ames,ames,iowa,LAUCT190185500000003,59941.0,50694.0,,5.0,0.0,0.0,68.0,68.0,56.0,58.0,24.0,1276.0,449.0,1741.0,790.0,4734.0,2143.0,447.0,1671.0,40945.0,16000US1901855,ames,ames,,,,,,,,,
anchorage,0.18547750591949486,0.026835043409629045,0.11523283346487766,20.0,3000.0,2.0,Anchorage,anchorage,alaska,LAUCT020300000000003,296039.0,195745.0,17843.0,650.0,309.0,454.0,726.0,843.0,1274.0,1133.0,1635.0,23949.0,6798.0,20018.0,7034.0,17136.0,7435.0,2706.0,1324.0,74648.0,16000US0203000,anchorage,anchorage,1267.0,0.3275453827940016,0.5529389138494809,-0.3217048145224941,1.9333755070304715,256.9836879432681,87.59422328071966,-0.31097079715864245,4.221875393379013
annapolis,0.13945578231292516,0.09863945578231292,0.09523809523809523,,1600.0,24.0,Annapolis,annapolis,maryland,LAUCT240160000000003,38577.0,23526.0,10367.0,124.0,75.0,373.0,180.0,79.0,451.0,261.0,234.0,2891.0,765.0,1648.0,504.0,2681.0,1602.0,350.0,376.0,71082.0,16000US2401600,annapolis,annapolis,588.0,0.3333333333333333,0.618657482945015,-0.467687074829932,1.6909348716231374,276.9512195122073,291.20326795917003,1.4829931972789117,8.081445500853086
annarbor,0.09325153374233129,0.03803680981595092,0.19631901840490798,,3000.0,26.0,Ann Arbor,annarbor,michigan,LAUCT260300000000003,115124.0,85133.0,7687.0,50.0,78.0,129.0,159.0,42.0,235.0,327.0,438.0,2596.0,1180.0,3329.0,1318.0,9015.0,6644.0,2406.0,3877.0,53351.0,16000US2603000,annarbor,annarbor,815.0,0.3276073619631902,0.5333230329168172,0.13496932515337423,2.3664976802347955,237.68421052631578,173.40749605511482,0.1950920245398773,6.152093625788263
appleton,0.02028639618138425,0.025059665871121718,0.1026252983293556,,2375.0,55.0,Appleton,appleton,wisconsin,LAUCT550237500000003,72689.0,64530.0,,317.0,80.0,156.0,257.0,121.0,178.0,346.0,528.0,6693.0,1400.0,3178.0,2710.0,4258.0,1776.0,621.0,337.0,51674.0,16000US5502375,appleton,appleton,838.0,0.14797136038186157,0.38123792467728745,-0.39200477326968974,1.8428318398435997,223.23529411764707,63.49067787061805,-0.43556085918854415,3.583784715489023
arlington,0.10372771474878444,0.07293354943273905,0.13019989195029713,,,48.0,mid cities,arlington,texas,,25644550.0,19116593.0,3030320.0,145761.0,133825.0,283523.0,193669.0,239088.0,183576.0,211914.0,136959.0,1989148.0,454406.0,1282738.0,476953.0,1362653.0,485164.0,146117.0,103943.0,50776.0,04000US48,arlington,arlington,1851.0,0.30686115613182063,0.5980612204571223,-0.22366288492706646,2.0304976843847906,185.14742476850628,89.92564404303887,0.6477579686655862,5.927049226904221
asheville,0.17775571002979146,0.05163853028798411,0.12413108242303873,,2140.0,37.0,Asheville,asheville,north carolina,LAUCT370214000000003,84661.0,70430.0,10270.0,365.0,35.0,236.0,411.0,733.0,809.0,684.0,339.0,5549.0,1139.0,4371.0,1795.0,7469.0,2177.0,1046.0,519.0,42419.0,16000US3702140,asheville,asheville,1007.0,0.3535253227408143,0.6211521593569704,-0.27259185700099303,1.9858904726687743,412.7405338299375,968.0285465754259,0.5084409136047666,6.677584700149326
ashtabula,,,,7.0,2638.0,39.0,Ashtabula,ashtabula,ohio,LAUCT390263800000003,,,,,,,,,,,,,,,,,,,,,,,ashtabula,,,,,,,,,
athensga,0.18151815181518152,0.041254125412541254,0.14026402640264027,,,13.0,Athens,athensga,georgia,,9815725.0,5948579.0,3016117.0,39497.0,26950.0,52104.0,68531.0,75502.0,92941.0,93149.0,51998.0,890559.0,158947.0,453616.0,180469.0,536631.0,188848.0,65021.0,39960.0,47642.0,04000US13,athensga,athensga,606.0,0.36303630363036304,0.5456545287959869,-0.18894389438943895,2.035070987489057,218.67370129869093,259.80048527215104,-0.022277227722772276,4.785299330417633
athensoh,0.01639344262295082,0.00546448087431694,0.01639344262295082,9.0,2736.0,39.0,Athens,athensoh,ohio,LAUCT390273600000003,23623.0,20335.0,,,,,,,,,,,,,,,,,,17986.0,16000US3902736,athensoh,athensoh,183.0,0.03825136612021858,0.21904187513192602,-0.9344262295081968,0.5093257488377275,280.0,105.83005244258362,-0.825136612021858,2.365508067054633
atlanta,0.17162688979747076,0.026338309403822383,0.1127698012741276,,4000.0,13.0,Atlanta,atlanta,georgia,LAUCT130400000000003,432752.0,170129.0,231265.0,1335.0,700.0,1149.0,2099.0,2016.0,3154.0,4503.0,1839.0,29150.0,4266.0,18984.0,5176.0,40419.0,16572.0,8007.0,2953.0,44784.0,16000US1304000,atlanta,atlanta,10517.0,0.31073500047542074,0.5378873005058639,-0.3303540299832025,1.9361906300120146,200.84972255199548,194.0444062243414,-0.299911254793829,4.376107416889469
auburn,0.10677083333333333,0.010416666666666666,0.03125,,3076.0,1.0,Auburn,auburn,alabama,LAUCT010307600000003,55207.0,41295.0,9130.0,50.0,98.0,39.0,59.0,14.0,231.0,130.0,30.0,1522.0,278.0,1117.0,631.0,3554.0,1873.0,517.0,1452.0,37853.0,16000US0103076,auburn,auburn,384.0,0.1484375,0.3842155294975069,-0.8229166666666666,0.9960212405241582,209.7154471545366,42.081109576629466,-0.6197916666666666,3.795176815157836
augusta,0.11895424836601307,0.011764705882352941,0.09215686274509804,,,13.0,Augusta,augusta,georgia,,9815725.0,5948579.0,3016117.0,39497.0,26950.0,52104.0,68531.0,75502.0,92941.0,93149.0,51998.0,890559.0,158947.0,453616.0,180469.0,536631.0,188848.0,65021.0,39960.0,47642.0,04000US13,augusta,augusta,1530.0,0.22287581699346407,0.4859028709561405,-0.44248366013071894,1.7801754313671172,171.25928833069779,63.104782212698154,-0.6941176470588235,2.870754984047342
austin,0.18210693488618315,0.021439915299100054,0.11514028586553732,15.0,5000.0,48.0,Austin,austin,texas,LAUCT480500000000003,818236.0,595250.0,64949.0,3655.0,4377.0,8254.0,4049.0,6112.0,3286.0,3808.0,3992.0,42848.0,11318.0,41206.0,13978.0,72905.0,28608.0,8391.0,7927.0,51668.0,16000US4805000,austin,austin,3778.0,0.31868713605082055,0.5523437170188138,-0.33059820010587615,1.914859943064649,208.9588466685103,97.9778506242223,-0.4056379036527263,4.177286754110405
bakersfield,0.11717495987158909,0.10754414125200643,0.16613162118780098,,3526.0,6.0,Bakersfield,bakersfield,california,LAUCT060352600000003,353780.0,234162.0,29220.0,2431.0,1911.0,3827.0,2068.0,2036.0,2058.0,3315.0,3717.0,25324.0,7294.0,18042.0,6510.0,13110.0,4269.0,1832.0,1034.0,54422.0,16000US0603526,bakersfield,bakersfield,1246.0,0.39085072231139645,0.6602030223426133,-0.05537720706260032,2.182842730872068,186.7827788649884,82.08313212189404,1.5421348314606742,7.355299590454491
baltimore,0.17067249332362225,0.03641660597232338,0.1444525370235494,5.0,4000.0,24.0,Baltimore,baltimore,maryland,LAUCT240400000000003,620843.0,186716.0,393657.0,2623.0,1263.0,3287.0,6709.0,6088.0,7971.0,8739.0,4849.0,57060.0,9617.0,25032.0,6546.0,27195.0,12313.0,5445.0,3988.0,39788.0,16000US2404000,baltimore,baltimore,4119.0,0.35154163631949503,0.5795125546717589,-0.10208788540907987,2.249241523671487,202.1830646435802,138.97595386003823,-0.06069434328720563,4.97800715391451
